tenant_id,property_id,first_name,last_name,email,phone,date_of_birth,lease_start_date,lease_end_date,lease_term_months,monthly_rent,security_deposit,annual_income,credit_score,num_occupants,pet_owner,employment_status,tenant_status
TEN0158,PROP0018,Sherri,Mcdonald,josephtownsend@example.net,001-499-416-3157,1969-05-08,2025-02-22,2027-02-12,24,3275,2475,149857,674,4,Yes,Employed,Active
TEN0159,PROP0058,Benjamin,Walters,zmiller@example.org,+1-895-964-5683x084,2004-06-16,2023-03-09,2025-02-26,24,2063,2942,99946,733,3,No,Employed,Inactive
TEN0160,PROP0073,Daniel,Hamilton,serickson@example.net,284-262-1244,1991-08-30,2023-02-26,2024-08-19,18,2318,3363,149843,654,4,Yes,Employed,Active
TEN0161,PROP0023,April,Butler,joelperez@example.org,2264382945,1979-05-16,2024-04-28,2024-10-25,6,2009,2048,64180,763,2,No,Employed,Active
TEN0162,PROP0039,Jody,Fields,zschneider@example.com,(947)409-1662x693,1999-08-11,2024-07-08,2026-06-28,24,1854,4802,102173,722,4,No,Employed,Active
TEN0163,PROP0026,Sean,Decker,colemantravis@example.com,4976575110,1986-07-14,2024-03-08,2025-03-03,12,1553,1281,124412,800,5,Yes,Self-Employed,Active
TEN0164,PROP0099,Erin,Allen,rebeccacurtis@example.com,+1-359-412-0446x65662,1965-11-17,2023-09-12,2024-03-10,6,2489,1926,130183,553,2,Yes,Self-Employed,Active
TEN0165,PROP0077,Ricky,Johnson,ebanks@example.com,756.931.6610,1993-07-02,2025-11-26,2027-11-16,24,3330,4758,78916,580,4,Yes,Employed,Active
TEN0166,PROP0002,Michael,Ayers,mary28@example.org,4558282529,2005-03-13,2025-10-26,2026-04-24,6,2994,3148,99391,690,1,No,Self-Employed,Inactive
TEN0167,PROP0016,Lindsey,Jones,kennedywilliam@example.net,(794)659-9299x84219,1983-11-23,2025-01-14,2025-07-13,6,1787,2372,98732,626,5,No,Self-Employed,Active
TEN0168,PROP0060,Christopher,Thompson,brian74@example.net,001-368-499-0236x68277,1981-06-21,2023-05-22,2023-11-18,6,2680,2792,78896,757,2,No,Employed,Inactive
TEN0169,PROP0097,Christopher,Fernandez,velliott@example.org,(426)572-4402x6060,1998-08-23,2023-04-19,2023-10-16,6,2353,3889,42255,757,5,No,Employed,Active
TEN0170,PROP0026,Sandra,Perry,juliaflores@example.net,(479)536-4840x490,1973-12-11,2026-01-06,2026-07-05,6,3441,3513,95517,772,5,Yes,Retired,Inactive
TEN0171,PROP0035,Preston,Johnson,lisamason@example.net,540.595.6295x788,1962-09-02,2022-07-29,2023-07-24,12,1910,1181,148131,793,1,No,Retired,Active
TEN0172,PROP0005,Sharon,Parker,qhawkins@example.com,238.688.7341x3116,1982-06-05,2025-10-05,2026-09-30,12,864,2497,141467,711,5,Yes,Self-Employed,Active
TEN0173,PROP0060,Maurice,Pittman,williamstravis@example.net,001-323-310-5210x7163,1960-12-01,2024-08-30,2025-02-26,6,3109,2769,69226,633,5,No,Employed,Active
TEN0174,PROP0059,Rebecca,Bass,beanangela@example.com,(586)290-7365,2004-12-25,2023-02-06,2024-02-01,12,2851,3633,133612,590,1,Yes,Employed,Inactive
TEN0175,PROP0053,Gavin,Roach,lcole@example.org,410-920-6063x8199,1956-05-06,2022-04-26,2024-04-15,24,921,3039,131391,717,4,No,Employed,Active
TEN0176,PROP0058,Mariah,Thompson,schwartzscott@example.com,957.219.8242x85605,1971-11-15,2022-10-19,2024-10-08,24,1151,3219,54345,744,2,Yes,Employed,Active
TEN0177,PROP0095,Steven,Morris,clarkrobert@example.net,(382)250-8507,1983-06-19,2024-01-13,2025-01-07,12,2097,3754,126948,749,1,Yes,Employed,Active
TEN0178,PROP0056,Elizabeth,Norris,markscynthia@example.com,3498105357,1992-04-13,2023-04-15,2024-10-06,18,1157,2335,43399,617,4,No,Employed,Active
TEN0179,PROP0016,Paul,Griffith,richard64@example.org,886-604-6426,1973-01-26,2023-02-08,2023-08-07,6,3070,1562,41746,731,5,No,Retired,Active
TEN0180,PROP0062,Linda,Price,ebrown@example.com,+1-728-321-4589,1972-09-09,2025-10-09,2027-09-29,24,3091,2788,132127,593,5,Yes,Employed,Active
TEN0181,PROP0043,Madison,Gould,schwartzjennifer@example.com,(975)481-3259x041,1963-03-20,2022-10-03,2024-03-26,18,1397,1318,65180,802,2,No,Employed,Active
TEN0182,PROP0012,Robert,Moore,samuelcervantes@example.net,001-834-489-0410x461,2004-02-13,2022-12-03,2024-05-26,18,3360,4861,62990,676,5,Yes,Employed,Active
TEN0183,PROP0001,Cindy,King,batesbrandi@example.org,259.564.2887,1995-01-29,2025-04-29,2027-04-19,24,2149,4406,73544,744,3,No,Self-Employed,Inactive
TEN0184,PROP0089,Steven,Soto,penny66@example.com,(225)535-9799,1980-07-17,2023-01-17,2024-01-12,12,3270,2445,69378,714,4,No,Employed,Active
TEN0185,PROP0050,Christopher,Wright,hrivers@example.com,001-650-351-6238x5315,1995-01-11,2025-08-06,2027-01-28,18,3158,2785,126321,801,3,No,Employed,Active
TEN0186,PROP0056,Lori,Carr,jeremy69@example.com,731.442.6707x65725,1957-09-20,2023-06-12,2023-12-09,6,3225,2273,103905,652,5,Yes,Student,Active
TEN0187,PROP0032,Nicole,Brady,johnsoncody@example.com,516.454.5805,1981-12-07,2025-05-27,2027-05-17,24,1083,4151,134554,699,4,Yes,Employed,Active
TEN0188,PROP0098,Kimberly,White,newtonmonica@example.com,(428)779-7410x05320,1985-04-26,2024-03-17,2025-03-12,12,2344,1405,123747,766,4,No,Employed,Active
TEN0189,PROP0065,Denise,Brown,williamsandrew@example.com,560.407.7515,1964-08-25,2025-10-13,2026-04-11,6,2999,1496,133641,734,1,Yes,Employed,Active
TEN0190,PROP0096,Wayne,Johnson,hughesnicole@example.com,912.908.5425x31941,1990-06-10,2023-11-20,2024-05-18,6,2158,4326,103822,754,1,Yes,Employed,Active
TEN0191,PROP0079,Aaron,Reynolds,stacy62@example.net,559-778-5591x40136,1962-08-04,2024-04-11,2025-04-06,12,2402,4593,88429,741,5,Yes,Employed,Active
TEN0192,PROP0016,Michael,Duran,rreyes@example.net,752-540-9128x3342,1963-05-03,2023-11-16,2025-05-09,18,1275,1960,84522,593,3,No,Employed,Active
TEN0193,PROP0079,Alan,Dean,hclark@example.com,(684)981-4302x8925,1956-04-27,2025-12-23,2027-12-13,24,1199,4389,75652,793,4,No,Employed,Active
TEN0194,PROP0017,Sarah,Young,ucase@example.net,471-201-1771x0911,1998-08-04,2024-04-30,2024-10-27,6,3454,1695,141303,725,2,Yes,Employed,Active
TEN0195,PROP0052,Michael,Blake,dgriffin@example.org,4599553674,1962-04-03,2024-09-15,2026-09-05,24,2459,2311,90562,668,2,No,Employed,Active
TEN0196,PROP0031,Steven,Scott,brett05@example.com,5912375867,1971-04-03,2024-09-22,2026-09-12,24,2392,836,107621,769,2,Yes,Employed,Active
TEN0197,PROP0011,Anthony,Graham,rebeccajones@example.com,+1-257-949-7988x4535,1996-01-01,2025-04-06,2025-10-03,6,2298,3470,134792,645,2,No,Employed,Active
TEN0198,PROP0075,Jennifer,Ryan,qwatkins@example.org,(609)668-3336,1972-01-15,2022-08-10,2024-02-01,18,3303,4015,108246,748,5,Yes,Employed,Inactive
TEN0199,PROP0092,Caitlin,Sawyer,fleblanc@example.com,+1-543-561-5971x6293,1976-11-27,2025-03-21,2026-03-16,12,3316,1494,136658,702,2,No,Employed,Active
TEN0200,PROP0028,Heather,Paul,bonillatiffany@example.net,430.226.0395x64446,2001-02-09,2024-04-06,2025-09-28,18,2892,3982,120890,622,4,Yes,Employed,Active
TEN0201,PROP0075,Martin,Whitaker,ystone@example.net,+1-639-502-6485x46006,1959-04-26,2023-12-13,2024-12-07,12,2805,3166,102733,635,2,Yes,Employed,Active
TEN0202,PROP0009,Charles,Smith,taylorbryan@example.com,363-922-7942x207,1981-08-01,2023-12-03,2025-05-26,18,1359,2398,31256,798,4,No,Employed,Active
TEN0203,PROP0068,David,Dunn,hernandeztimothy@example.org,676.467.6481,1975-02-13,2025-11-14,2027-11-04,24,3115,1052,51922,592,2,No,Employed,Active
TEN0204,PROP0045,Matthew,Turner,davidpowell@example.com,962-636-3494x440,1968-07-01,2022-04-26,2023-04-21,12,3116,4857,132333,784,5,Yes,Employed,Active
TEN0205,PROP0082,Heather,Sharp,ashleychen@example.com,001-546-701-0947x5060,2005-02-18,2024-01-09,2025-07-02,18,2607,2590,101046,571,4,Yes,Self-Employed,Active
TEN0206,PROP0039,Casey,Young,dbowman@example.org,246.531.0677x06078,1992-02-01,2023-05-14,2024-11-04,18,2642,2952,144663,566,3,Yes,Employed,Evicted
TEN0207,PROP0036,Michael,Simmons,joannabrown@example.net,+1-607-998-2528,1977-05-08,2022-10-01,2023-09-26,12,3299,4307,136260,729,2,Yes,Self-Employed,Inactive
TEN0208,PROP0010,Melissa,Elliott,marycruz@example.net,+1-613-709-2169x99238,1979-07-06,2023-03-01,2024-08-22,18,3244,2179,99767,693,3,No,Employed,Active
TEN0209,PROP0078,Larry,Romero,gardnermatthew@example.com,4626684401,1986-03-16,2023-10-27,2024-04-24,6,1042,3071,47771,760,2,Yes,Employed,Active
TEN0210,PROP0039,Dawn,Ford,amandabarrett@example.org,+1-711-799-4142,1957-03-25,2023-12-10,2025-11-29,24,3165,3001,94154,622,4,No,Employed,Active
TEN0211,PROP0014,Matthew,Dominguez,tony33@example.com,291.753.1926,1973-12-19,2022-12-23,2024-12-12,24,2311,4524,97582,692,4,No,Employed,Inactive
TEN0212,PROP0014,Regina,Ramos,stoneleslie@example.com,001-319-523-9796x92002,1970-09-06,2022-08-21,2024-08-10,24,1059,4058,113209,733,2,No,Self-Employed,Active
TEN0213,PROP0051,Heather,Allen,beverly86@example.net,4062170605,1966-11-25,2025-10-14,2027-04-07,18,3118,4775,74270,616,3,Yes,Employed,Active
TEN0214,PROP0070,Robert,Thompson,icampbell@example.net,393.462.0491,1980-02-08,2024-06-23,2024-12-20,6,2607,4539,46284,630,1,No,Employed,Active
TEN0215,PROP0020,Cynthia,Manning,theresajones@example.net,001-886-521-2191x32297,1983-08-03,2022-11-19,2024-05-12,18,1182,3752,50837,690,3,Yes,Employed,Inactive
TEN0216,PROP0026,Morgan,Hawkins,poncerichard@example.net,(212)858-5027x615,1974-04-22,2023-07-18,2024-01-14,6,1759,4316,81949,706,1,Yes,Employed,Active
TEN0217,PROP0020,Rachel,Armstrong,xharris@example.net,(959)982-3550,1969-12-11,2025-06-30,2026-06-25,12,838,866,98084,777,3,Yes,Student,Active
TEN0218,PROP0020,Daniel,Morgan,zacharycox@example.com,(906)467-4431x2669,1969-06-14,2023-03-26,2025-03-15,24,2369,1531,39283,667,1,Yes,Employed,Inactive
TEN0219,PROP0022,Kristina,Bird,xmcgee@example.com,+1-651-693-2414x816,1960-10-02,2022-06-15,2024-06-04,24,3427,1970,131379,618,1,Yes,Employed,Active
TEN0220,PROP0054,Jacob,Parker,winterskayla@example.org,001-538-290-4298x48835,1992-07-08,2023-08-02,2024-07-27,12,2486,4424,112323,627,2,Yes,Retired,Active
TEN0221,PROP0018,Travis,Becker,mrocha@example.com,(762)612-7194x67812,1962-03-06,2023-05-15,2025-05-04,24,2088,1945,76076,769,2,No,Employed,Active
TEN0222,PROP0089,Karina,Dorsey,laura91@example.com,(777)341-0399x011,1975-10-27,2022-05-07,2023-10-29,18,3496,3271,132101,563,2,Yes,Self-Employed,Active
TEN0223,PROP0009,Jacob,Christensen,james23@example.org,491-971-1218x94174,1991-06-15,2022-07-24,2023-07-19,12,1261,2774,94865,747,4,Yes,Employed,Evicted
TEN0224,PROP0056,Michelle,Smith,christina63@example.com,711-389-7743x8499,1983-02-12,2023-01-01,2024-06-24,18,3128,4247,47299,748,3,Yes,Self-Employed,Evicted
TEN0225,PROP0012,Christopher,Palmer,tyler56@example.net,(268)301-9502x44544,1964-12-15,2022-10-05,2023-04-03,6,856,2947,106986,584,2,Yes,Retired,Inactive
TEN0226,PROP0060,Denise,Cantu,jacksonsean@example.net,+1-205-938-8709x097,2001-02-03,2025-04-24,2026-10-16,18,2501,4269,112388,806,4,Yes,Employed,Active
TEN0227,PROP0024,Heather,Hardy,msoto@example.net,001-657-428-1112,1965-09-09,2025-03-10,2026-09-01,18,1123,4988,40957,708,2,Yes,Employed,Active
TEN0228,PROP0095,Erin,Humphrey,cantrellthomas@example.net,798.772.3135,1987-03-03,2025-02-28,2025-08-27,6,1777,1274,70654,773,2,Yes,Retired,Active
TEN0229,PROP0091,James,Luna,george37@example.com,990.241.1521x540,1977-12-15,2026-01-21,2026-07-20,6,1289,903,70539,639,2,Yes,Employed,Evicted
TEN0230,PROP0079,Julian,Sanchez,melissa28@example.com,493.610.3222x212,1958-11-22,2023-03-13,2024-09-03,18,1319,3001,51884,740,1,Yes,Employed,Active
TEN0231,PROP0080,Frank,Smith,karen65@example.net,253-241-1736x6800,1974-01-07,2025-07-01,2025-12-28,6,2832,4528,64465,589,5,No,Employed,Inactive
TEN0232,PROP0026,Kelly,Jenkins,lisamoore@example.org,+1-940-864-2624,1965-11-19,2022-11-17,2024-05-10,18,1221,1744,50618,680,2,Yes,Employed,Inactive
TEN0233,PROP0039,Christopher,Henderson,dwheeler@example.org,345-344-4278x223,1962-06-11,2023-05-07,2023-11-03,6,2368,2029,91835,736,2,Yes,Employed,Inactive
TEN0234,PROP0097,Robert,Mckee,jbaxter@example.net,986.446.6149x321,1958-12-03,2023-06-03,2025-05-23,24,1816,4209,59427,714,3,No,Self-Employed,Active
TEN0235,PROP0018,Alicia,Walter,anthonywilson@example.org,+1-577-546-2671x387,1988-10-15,2022-09-30,2023-03-29,6,2912,1176,53507,664,4,Yes,Retired,Inactive
TEN0236,PROP0049,Cory,Nelson,bbrock@example.com,(880)712-5550x1299,1958-12-28,2024-01-29,2025-07-22,18,832,3822,41322,783,2,No,Employed,Active
TEN0237,PROP0092,Keith,Gates,tanderson@example.net,001-550-540-7606x73406,1998-03-10,2024-09-28,2025-09-23,12,3223,4841,90807,738,2,Yes,Employed,Inactive
TEN0238,PROP0004,Melissa,Cowan,aliciachandler@example.com,731.618.7909,1966-02-27,2022-06-23,2023-06-18,12,3404,878,100981,727,3,Yes,Self-Employed,Active
TEN0239,PROP0049,Douglas,Edwards,benjaminjohnson@example.org,001-467-505-9102x834,1969-10-14,2025-06-09,2025-12-06,6,2519,4830,56895,671,1,Yes,Self-Employed,Active
TEN0240,PROP0035,Frederick,Howell,qcortez@example.com,+1-411-821-6699x075,1963-06-10,2022-04-27,2024-04-16,24,2677,1495,121861,740,5,Yes,Employed,Active
TEN0241,PROP0060,Robert,Edwards,logangonzalez@example.org,813.661.2375,1995-02-21,2024-07-31,2025-01-27,6,2581,1870,107580,581,2,No,Employed,Active
TEN0242,PROP0060,Jeremy,Cook,linda16@example.com,766-533-5694x0619,1975-09-07,2023-04-13,2024-10-04,18,1913,2713,71688,781,1,Yes,Employed,Active
TEN0243,PROP0016,Jesus,Leon,loweryjose@example.org,404-746-7934,1992-04-05,2023-07-26,2024-07-20,12,2641,4617,43848,634,3,No,Employed,Active
TEN0244,PROP0032,Jamie,Mendez,christopher43@example.com,780.205.4750x85414,1956-03-07,2026-02-09,2028-01-30,24,1885,1782,70410,787,1,Yes,Self-Employed,Active
TEN0245,PROP0090,Krista,Johnson,alipatrick@example.com,252-401-5490,1961-10-05,2023-06-10,2023-12-07,6,1407,1547,58183,717,2,No,Employed,Active
TEN0246,PROP0047,Ruth,Cabrera,nancy12@example.com,990.836.8576,1961-03-06,2024-02-16,2025-08-09,18,927,4112,137490,639,4,Yes,Employed,Active
TEN0247,PROP0022,Julie,Nash,gallagherjill@example.net,(896)822-6241,1964-06-22,2022-12-18,2023-06-16,6,1710,1870,31567,581,2,No,Employed,Active
TEN0248,PROP0096,Mary,Dean,kennethphillips@example.net,(233)813-7660,1994-09-20,2022-11-22,2023-05-21,6,1107,978,106326,682,1,Yes,Retired,Active
TEN0249,PROP0020,Cindy,Perry,fhawkins@example.com,2265957670,1987-03-29,2023-01-20,2023-07-19,6,1301,1149,148630,719,4,Yes,Employed,Active
TEN0250,PROP0060,Keith,Solis,jdoyle@example.net,+1-861-541-0275x5961,1986-06-29,2025-06-19,2027-06-09,24,2547,2215,33864,745,3,Yes,Retired,Active
TEN0251,PROP0069,Samantha,Contreras,vwalker@example.com,(504)714-5028,2003-03-15,2025-03-29,2026-03-24,12,3451,3217,34541,675,4,No,Retired,Active
TEN0252,PROP0014,Ralph,Cooper,shannon59@example.org,001-928-351-5940x304,1991-05-13,2024-02-21,2025-08-14,18,2517,2433,80202,620,5,Yes,Employed,Inactive
TEN0253,PROP0003,Troy,Mcmahon,michael54@example.net,+1-881-983-8568x77024,1984-01-10,2023-01-15,2025-01-04,24,2764,4770,132487,733,3,No,Employed,Active
TEN0254,PROP0050,Gwendolyn,Neal,hbishop@example.org,+1-418-253-8785x0745,2003-09-07,2023-08-16,2024-08-10,12,1039,4664,33840,693,5,No,Self-Employed,Evicted
TEN0255,PROP0025,Samantha,Black,douglasross@example.org,724.343.1893x709,1997-08-15,2023-07-15,2024-01-11,6,1891,1258,62487,673,2,No,Employed,Inactive
TEN0256,PROP0027,Evan,Jones,asmith@example.net,001-695-639-0562x8325,1969-07-02,2022-11-09,2023-11-04,12,2269,1031,61005,712,3,Yes,Employed,Active
TEN0257,PROP0076,Derek,Roberson,karenchase@example.net,(686)919-7265,1999-06-19,2024-08-05,2026-01-27,18,955,1539,53010,801,1,Yes,Employed,Active
TEN0258,PROP0074,Ronnie,Miller,rachelbonilla@example.net,836-778-8744x91692,1967-03-13,2023-12-04,2024-06-01,6,1334,3591,73481,653,2,No,Employed,Active
TEN0259,PROP0023,Alicia,Leonard,mcculloughjohn@example.org,911.563.5852,1955-12-28,2025-01-07,2025-07-06,6,2294,1394,140949,819,3,No,Employed,Active
TEN0260,PROP0051,Jennifer,Guerra,xgreen@example.net,001-287-243-1264x008,2004-06-12,2023-08-13,2024-08-07,12,3418,4791,50644,773,3,Yes,Self-Employed,Active
TEN0261,PROP0091,Elizabeth,Moore,garzaemily@example.com,479.304.1855,2002-04-24,2023-10-22,2025-04-14,18,2349,3313,59260,639,3,Yes,Employed,Active
TEN0262,PROP0086,Deborah,Perez,slee@example.org,310-888-5801,1978-10-19,2023-05-02,2025-04-21,24,1545,3406,141510,566,5,Yes,Employed,Active
TEN0263,PROP0076,Laura,Anderson,jeremyortiz@example.org,(266)577-9493x78741,2000-01-24,2022-11-10,2023-11-05,12,1774,3641,73406,589,3,Yes,Employed,Evicted
TEN0264,PROP0099,Jay,Lee,perezjason@example.org,3397246766,1986-09-09,2026-01-30,2027-07-24,18,1886,2517,88540,555,2,Yes,Employed,Active
TEN0265,PROP0001,Audrey,Decker,sheltonjacqueline@example.com,(903)362-4474x49926,1986-12-01,2023-01-28,2023-07-27,6,2518,2162,80585,774,4,No,Retired,Active
TEN0266,PROP0058,William,Parker,mperez@example.org,(701)844-3191x99445,1999-10-25,2025-01-29,2025-07-28,6,3167,2647,138633,795,2,No,Employed,Inactive
TEN0267,PROP0046,Jason,Mendez,carrie05@example.net,001-614-822-6004x77373,2002-07-17,2024-05-31,2024-11-27,6,1228,1407,71774,683,3,Yes,Retired,Active
TEN0268,PROP0012,Suzanne,Cline,daviskatrina@example.org,338-248-2279x2012,1992-11-24,2024-05-06,2024-11-02,6,926,4333,74295,797,2,No,Employed,Active
TEN0269,PROP0032,Amanda,George,corey14@example.net,(436)779-5692x690,1971-09-04,2022-10-24,2023-10-19,12,1953,3236,83645,685,2,Yes,Employed,Active
TEN0270,PROP0075,Rodney,Stanton,cclayton@example.net,(583)558-8357x65208,2004-08-19,2024-10-15,2025-10-10,12,815,4302,37144,734,1,No,Self-Employed,Active
TEN0271,PROP0074,Brian,Farmer,alexandramorris@example.com,+1-493-294-9323x53533,1975-12-09,2025-08-16,2026-08-11,12,1647,2199,42712,563,3,Yes,Employed,Active
TEN0272,PROP0060,Ashley,Taylor,pbennett@example.org,277-567-8002,1996-07-06,2024-07-01,2026-06-21,24,1173,3974,94106,685,2,No,Retired,Active
TEN0273,PROP0069,Gary,Johnson,blee@example.org,(876)624-2252x06175,1971-11-13,2022-07-10,2023-01-06,6,2704,2957,64510,775,2,No,Employed,Active
TEN0274,PROP0099,Jake,Farley,christine17@example.org,(800)307-4938,1972-10-31,2024-12-30,2025-06-28,6,3017,4191,41233,726,5,Yes,Employed,Inactive
TEN0275,PROP0079,James,Mitchell,figueroacynthia@example.net,(514)907-1946x04246,1968-05-02,2024-08-19,2026-08-09,24,3145,2730,100190,793,4,No,Employed,Inactive
TEN0276,PROP0005,Laurie,Taylor,jacobbutler@example.net,001-804-571-9495,1996-02-27,2024-03-28,2025-03-23,12,1508,2169,45765,779,2,Yes,Employed,Active
TEN0277,PROP0067,Vicki,Williams,connielutz@example.com,(325)375-2319,1997-10-16,2022-12-10,2023-12-05,12,3237,2912,137815,625,3,Yes,Employed,Active
TEN0278,PROP0083,Robert,Day,eric17@example.net,2243847869,1995-03-18,2023-02-14,2024-08-07,18,2928,4553,142279,691,1,No,Employed,Active
TEN0279,PROP0085,Samuel,Johnston,frances30@example.net,384.226.7687x0992,1983-08-15,2023-08-07,2024-02-03,6,1971,3616,43845,601,4,No,Employed,Active
TEN0280,PROP0090,Caroline,Rodriguez,pacerobert@example.net,4414905346,1961-05-02,2024-12-12,2026-12-02,24,1928,4101,34910,638,2,No,Employed,Inactive
TEN0281,PROP0052,Kelsey,Lin,clopez@example.com,001-797-747-9670x35653,2004-08-14,2025-03-13,2026-03-08,12,1900,3851,36460,793,1,No,Self-Employed,Active
TEN0282,PROP0044,Katie,Shea,guerrerokara@example.org,+1-227-558-3635x0988,1975-01-10,2026-02-08,2028-01-29,24,1733,1900,142490,600,3,No,Self-Employed,Active
TEN0283,PROP0065,Matthew,Schmidt,dtaylor@example.com,+1-699-738-4386x742,1957-08-12,2023-02-21,2023-08-20,6,1665,4135,54633,776,4,No,Self-Employed,Active
TEN0284,PROP0025,Nicole,Rogers,alexanderjackson@example.net,+1-407-446-6924x0900,1987-06-06,2022-07-27,2023-01-23,6,2452,1911,70779,809,5,Yes,Employed,Inactive
TEN0285,PROP0031,Erik,Fisher,michaelhaynes@example.com,840-842-9383,1990-07-06,2024-09-02,2025-03-01,6,2669,1214,62701,566,3,Yes,Employed,Inactive
TEN0286,PROP0077,Jonathan,Ferguson,david15@example.org,001-792-711-9159x614,1962-05-16,2022-12-29,2024-12-18,24,925,2781,113284,613,3,No,Employed,Active
TEN0287,PROP0073,Lisa,Garcia,dennissherman@example.org,411.985.3855x60203,1992-04-15,2025-09-30,2027-03-24,18,1859,1540,75121,633,3,Yes,Employed,Active
TEN0288,PROP0086,Justin,Luna,lance34@example.org,982-870-8077,1983-04-06,2023-02-07,2024-02-02,12,3451,2644,142343,663,2,No,Employed,Active
TEN0289,PROP0002,Sabrina,Russo,collinbailey@example.net,001-461-812-4131x03961,2003-10-24,2025-07-26,2027-07-16,24,3451,2218,149474,617,5,Yes,Employed,Active
TEN0290,PROP0049,Patrick,Avery,savageyvette@example.com,244-667-5989x766,1973-03-21,2024-02-03,2025-07-27,18,2228,4560,85549,742,3,Yes,Employed,Active
TEN0291,PROP0092,Christian,Chandler,ehunt@example.org,+1-696-595-0110x13586,1984-10-01,2025-07-06,2027-06-26,24,830,4990,106609,602,3,No,Employed,Active
TEN0292,PROP0011,Cynthia,Hamilton,doughertymichelle@example.net,669-553-1428,1997-08-28,2024-12-19,2026-06-12,18,1934,2939,66239,716,3,Yes,Employed,Active
TEN0293,PROP0010,David,Walls,monicawilliams@example.com,001-220-704-6974,1980-05-07,2024-03-13,2026-03-03,24,1373,1008,116577,713,4,No,Employed,Active
TEN0294,PROP0059,Kathleen,Sullivan,ashley50@example.net,(717)990-4008x3452,1972-05-04,2023-09-28,2024-03-26,6,2205,2621,106418,647,5,No,Retired,Active
TEN0295,PROP0077,Sean,Herring,fjones@example.com,4413723280,1970-07-15,2024-12-29,2026-06-22,18,3493,2283,140810,637,3,Yes,Employed,Active
TEN0296,PROP0084,Christina,Valdez,paulalexander@example.com,712.301.4597x27347,1959-04-23,2025-02-23,2026-02-18,12,3480,1531,119091,721,2,No,Employed,Inactive
TEN0297,PROP0065,Bryan,Wilson,joshua51@example.org,780-849-6515,2003-08-17,2025-08-13,2027-02-04,18,3198,3208,78717,683,4,Yes,Employed,Inactive
TEN0298,PROP0087,Michael,Huff,mccoykenneth@example.com,691.406.2208x3444,1977-06-25,2023-09-10,2024-03-08,6,2849,1781,91894,649,4,No,Employed,Inactive
TEN0299,PROP0024,James,Bernard,pamelawatson@example.org,764-785-5984,1957-08-04,2023-05-19,2024-05-13,12,2476,4548,56253,725,2,No,Retired,Active
TEN0300,PROP0013,Melinda,Cox,randolphjesse@example.net,426.319.1836,1968-03-31,2025-03-17,2027-03-07,24,2083,1275,73598,640,1,No,Employed,Active
TEN0301,PROP0026,Mary,Thompson,waltonjulie@example.org,+1-969-313-6465,1974-03-07,2026-02-20,2027-02-15,12,1330,4352,94169,595,4,No,Employed,Active
TEN0302,PROP0001,Marvin,Jenkins,jennifer84@example.org,6672855699,1962-05-18,2025-08-02,2026-01-29,6,2328,915,99963,652,3,Yes,Employed,Active
TEN0303,PROP0039,Justin,Wagner,andrearoy@example.net,296-706-0626x10848,1960-12-10,2024-08-14,2025-08-09,12,2078,1856,120901,726,1,No,Employed,Active
TEN0304,PROP0011,Emily,Barnes,kathleenreese@example.com,887-282-3028,1966-02-01,2026-01-14,2026-07-13,6,2667,3567,69085,698,4,Yes,Employed,Inactive
TEN0305,PROP0055,Robert,Williams,stuartann@example.net,208.686.2996x325,1956-09-03,2025-06-10,2026-06-05,12,878,2671,51611,756,2,Yes,Employed,Active
TEN0306,PROP0077,Earl,Marsh,crussell@example.org,3655101048,1960-08-13,2023-06-07,2024-06-01,12,3464,1106,46143,737,4,No,Self-Employed,Active
TEN0307,PROP0089,Nancy,Smith,thoffman@example.net,001-300-329-2702x05096,1963-12-05,2024-12-21,2025-06-19,6,3477,961,116765,605,1,Yes,Employed,Active
TEN0308,PROP0083,David,Freeman,nicolemedina@example.com,+1-975-388-4790,1969-04-26,2025-09-22,2027-03-16,18,1641,876,92180,628,3,No,Employed,Active
TEN0309,PROP0043,Justin,Nelson,maria52@example.com,(331)605-2450x9568,1975-03-31,2025-04-30,2026-04-25,12,2895,1764,84896,603,3,Yes,Self-Employed,Active
TEN0310,PROP0090,Brenda,Watkins,tarapratt@example.org,001-682-884-2649x6631,1966-01-18,2023-11-23,2024-11-17,12,2942,2452,131968,684,3,No,Employed,Active
TEN0311,PROP0076,Christina,Edwards,lauren13@example.com,001-416-607-0635x57340,1989-06-09,2022-08-15,2023-08-10,12,2154,2721,120204,796,1,Yes,Employed,Inactive
TEN0312,PROP0086,Christian,Parker,kristen30@example.net,911-570-2047x17062,1988-01-13,2024-05-25,2026-05-15,24,2895,1414,49548,596,1,No,Employed,Active
TEN0313,PROP0046,Erik,Miller,pdouglas@example.com,493-308-2403x09133,1982-03-06,2023-07-12,2025-01-02,18,1208,2231,90853,575,1,No,Employed,Active
TEN0314,PROP0066,Noah,Daniel,annapacheco@example.com,944-938-8772x0680,2001-11-03,2024-09-27,2025-03-26,6,839,1933,42451,573,2,No,Employed,Active
TEN0315,PROP0092,Anne,Anderson,stephensandrea@example.net,+1-740-660-4006,1966-01-04,2025-11-13,2027-05-07,18,2326,3607,145143,597,2,Yes,Employed,Evicted
TEN0316,PROP0043,Thomas,Lewis,wlewis@example.org,(470)388-2497x011,1991-07-15,2024-01-19,2026-01-08,24,2527,2166,120426,794,1,Yes,Employed,Active
